Country,Attribute,Year,VarName,Variable Name,VarType,Unit,Nominal or Real,Age Groups,Upper Age Group,Single- or Five-Year,Status,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99,Age100,Age101,Age102,Age103,Age104,Age105,Age106,Age107,Age108,Age109,Age110,Prepared At,Prepared By,Uploaded At,Uploaded By,Country attribute 1,Country attribute 2,Country attribute 3,Country attribute 4,Country attribute 5
United Kingdom,,2010,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2680.548,595.7986,572.9844,551.7064,531.9945,733.1412,686.9583,653.5225,620.7851,601.3212,591.6395,598.1526,623.7587,656.5315,702.2042,604.9594,643.9489,688.845,727.5982,779.712,637.8286,680.5889,718.7517,793.9161,842.4963,713.4626,770.8253,825.9834,905.7719,904.9774,925.1576,922.4307,906.8964,859.9213,822.9705,1133.578,1040.033,992.1733,945.5742,936.3111,1092.561,1114.338,1133.937,1144.974,1214.964,1359.285,1392.138,1415.477,1489.738,1507.486,1514.022,1568.314,1629.85,1686.875,1749.429,1916.603,2007.199,2066.854,2129.482,2198.673,2493.9,2569.727,2629.184,2743.909,2840.087,3164.352,3323.202,3513.503,3691.412,3875.203,3999.691,4237.468,4409.224,4530.58,4726.476,5187.898,5294.776,5366.86,5600.969,5740.369,5869.949,6222.146,6595.475,6991.203,7410.675,7855.316,8326.635,8826.232,9355.807,9917.154,10512.18,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2010,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,72.75741,57.16883,102.0473,41.74542,33.18167,81.8711,21.68311,75.88388,22.83839,19.82174,124.8602,178.3198,76.06502,154.6559,73.09897,106.7577,117.5422,123.1622,115.1882,91.52192,70.8581,76.91797,136.2991,162.5538,53.74337,67.86111,143.2365,143.0536,138.3091,229.1554,104.0344,166.7662,128.1844,131.3994,172.259,161.9121,127.9538,135.5156,163.4532,160.9859,206.8544,260.5421,174.6368,258.551,422.3017,320.3579,295.5083,350.1896,588.63,461.403,399.4138,387.5997,389.8051,359.7585,317.7405,329.2155,343.3756,337.1651,299.1409,495.2534,494.7063,581.2358,349.3341,711.9645,414.3851,507.0814,469.5047,557.5993,331.2674,434.5282,505.2129,407.0059,378.0898,829.6098,354.0766,249.8951,249.2116,302.8359,540.9518,503.2969,533.4947,565.5044,599.4346,635.4007,673.5248,713.9362,756.7724,802.1788,850.3094,901.328,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2009,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2397.173,646.4438,618.3541,589.0028,564.0574,746.6063,687.8633,645.0902,611.5391,578.3416,642.5308,616.6027,615.0857,619.748,630.6044,632.3064,652.3436,664.0883,692.9041,736.7889,641.1658,673.8243,722.0914,792.8566,873.0051,723.6738,777.9663,848.2213,887.1501,918.2919,861.3378,918.8232,899.45,876.2443,869.8169,977.7678,987.7334,952.1439,979.3622,996.6916,1020.473,1075.49,1106.999,1135.042,1200.261,1284.248,1337.167,1387.606,1430.208,1499.268,1503.252,1565.639,1613.04,1667.862,1739.472,1875.565,1950.364,2027.959,2107.386,2183.254,2483.993,2554.85,2617.935,2722.412,2806.808,3185.756,3314.044,3389.195,3614.852,3753.027,3857.563,4056.542,4272.956,4528.861,4755.153,4973.176,5188.965,5423.137,5526.914,5736.79,5660.125,5999.733,6359.717,6741.299,7145.777,7574.523,8028.995,8510.734,9021.378,9562.661,10136.42,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2009,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,55.44173,33.39057,25.68782,15.98945,52.51941,21.75433,49.20331,28.26109,82.48835,30.4643,15.70537,3.637777,4.669024,7.99577,6.73716,5.398766,7.729133,7.359331,8.508639,26.55119,135.506,106.0337,93.39678,72.08742,82.39305,63.32646,153.8746,99.38481,347.3675,111.6623,221.0024,266.8105,365.3309,216.8802,312.552,387.3757,365.6261,210.1573,438.6998,324.8101,307.7242,219.3049,299.2275,160.6455,308.9027,160.7928,214.6846,501.2971,164.7938,219.7644,315.937,462.1833,245.7197,275.6682,589.6387,297.9103,573.3387,374.7266,371.7035,438.4208,261.0962,374.1744,399.5659,410.2297,519.1462,289.9241,288.7679,249.2276,549.3816,885.2354,192.311,442.9233,476.1592,260.7903,331.1048,564.5225,330.3425,396.3689,924.4792,413.6295,438.4473,464.7541,492.6393,522.1978,553.5296,586.7414,621.9459,659.2626,698.8184,740.7475,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2008,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,1908.166,672.7435,637.4655,620.788,597.6097,645.028,620.8015,603.1757,593.4917,590.01,570.7697,565.08,568.3055,582.6118,609.2148,567.3062,598.8383,624.0637,664.0494,687.8383,662.3799,674.5858,683.1583,690.7473,720.7073,724.7381,747.1084,758.8547,793.321,827.9171,753.951,768.3745,822.5886,850.1944,868.7459,864.009,883.3001,911.7278,913.2772,948.1834,990.0104,996.654,1022.049,1043.041,1074.217,1186.757,1245.103,1293.107,1346.128,1408.575,1369.209,1439.975,1485.548,1547.888,1603.829,1799.488,1843.64,1881.877,1914.115,1954.803,2307.172,2367.082,2449.212,2549.031,2663.519,2866.354,3026.952,3220.896,3449.146,3654.973,3547.764,3715.479,3998.836,4222.452,4576.749,4568.45,4721.611,4961.563,5158.174,5339.617,5518.564,5849.678,6200.659,6572.698,6967.06,7385.083,7828.189,8297.88,8795.753,9323.498,9882.908,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2008,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.9337,141.6165,165.3364,267.6936,179.4071,273.7599,172.1446,140.5763,209.2568,232.2149,106.8023,257.3508,123.9358,149.0508,302.1949,89.86119,188.4471,198.6279,405.0296,109.2126,244.3259,313.7009,319.442,240.5689,217.6159,344.0622,656.8768,385.3392,202.1697,262.4699,473.6314,257.6499,372.4781,326.2263,580.8527,587.595,888.1295,368.9828,584.378,286.5621,276.417,434.8561,363.4134,283.3492,216.7099,350.4855,188.9777,276.0315,231.9091,289.341,178.5842,297.734,293.4087,437.0966,289.0702,404.3987,472.799,384.3555,328.3611,368.1577,390.2472,413.662,438.4818,464.7906,492.6781,522.2388,553.5731,586.7875,621.9948,659.3144,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2007,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,1285.261,830.6138,767.8679,722.7226,666.5039,660.7093,619.1345,582.3729,547.3606,521.8796,528.5615,518.2592,526.4261,547.4335,574.3109,530.5839,556.6396,587.7319,612.7865,639.6437,593.4313,610.6974,641.4489,651.7789,676.9277,664.8357,711.02,719.412,730.8464,761.3285,742.7979,742.8794,752.1232,769.38,762.1971,824.9639,838.4871,844.6813,875.2586,902.0883,926.0445,939.8256,983.1155,1006.314,1014.575,1150.846,1178.5,1222.717,1234.842,1273.211,1320.831,1368.94,1422.303,1480.887,1538.141,1654.751,1720.943,1796.714,1878.365,1968.528,2103.216,2221.579,2349.468,2475.991,2627.661,2813.125,2953.89,3105.341,3272.832,3399.009,3467.552,3685.546,3834.026,4014.829,4067.632,4423.162,4578.881,4770.655,4801.535,5006.439,4955.37,5252.691,5567.853,5901.924,6256.04,6631.402,7029.287,7451.043,7898.106,8371.992,8874.313,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2007,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,100.7661,69.07343,66.51637,74.3937,76.56793,37.97713,40.98311,58.14224,24.06418,248.3041,10.8894,48.17102,8.51304,12.60223,7.567293,9.339703,10.86507,38.45608,9.911992,22.36974,66.9757,71.60163,58.44865,57.86012,188.6756,154.3564,284.2026,138.0906,136.1659,125.5197,119.2317,156.4596,129.2174,225.116,99.0016,194.2485,100.9019,265.6225,207.3476,91.28356,215.6663,592.6396,231.2933,558.7493,282.2258,268.4861,244.7287,229.5159,352.7598,290.2759,543.2768,442.2949,619.9318,352.9962,373.2504,590.9604,463.8907,653.7293,497.3942,351.6864,349.6363,386.9016,476.5181,482.5308,289.577,268.1721,279.6053,470.152,407.8665,150.4795,342.7682,361.0303,278.4142,913.81,190.3719,197.4815,357.0587,369.2051,515.4122,339.183,359.5339,381.106,403.9724,428.2107,453.9033,481.1375,510.0057,540.6061,573.0424,607.425,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2006,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2059.516,617.8548,586.962,552.2077,514.879,718.2562,651.3219,589.5364,538.0485,502.007,500.7198,503.2942,523.8893,562.5053,612.706,455.6679,494.2838,531.6125,565.0797,592.1108,518.7406,530.3254,536.7614,538.0485,535.4741,584.3876,577.9517,570.2285,562.5053,557.3565,581.8132,583.1005,589.5364,603.6956,624.2908,620.4292,652.6091,692.5123,737.5641,787.7648,727.2665,777.4673,828.9552,884.3047,940.9413,961.5365,1014.312,1064.512,1109.564,1148.18,1226.699,1255.018,1280.761,1310.367,1348.983,1500.872,1578.104,1674.644,1793.066,1926.935,2067.239,2213.98,2355.571,2483.004,2592.416,3004.319,3078.976,3133.039,3171.655,3198.686,3883.475,3911.793,3952.983,4016.056,4108.734,4511.627,4690.547,4910.658,5169.385,5462.866,5029.081,5330.825,5650.675,5989.716,6349.098,6730.044,7133.847,7561.878,8015.59,8496.526,9006.317,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2006,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.1891,133.5475,303.6891,79.9915,95.73141,108.1823,162.5422,157.3369,131.8288,599.523,245.1201,208.6611,205.1377,217.3792,244.553,209.3892,340.4937,192.6564,202.8163,239.3212,263.3186,233.9898,286.8048,303.5793,338.4027,249.4535,190.4035,321.5648,449.4223,426.9665,411.967,473.7813,286.1646,333.5631,464.9167,400.551,290.1494,267.1218,278.4893,1154.643,134.0726,288.6593,228.5426,179.3428,371.5071,198.8549,189.5347,262.0001,516.9343,203.8514,250.1038,289.3961,227.2598,288.7687,553.4117,217.8304,159.3609,373.3544,337.6175,439.9063,466.3007,494.2787,523.9354,555.3715,588.6938,624.0155,661.4564,701.1438,743.2124,787.8052,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
